,1,2,3,4,5,6,7,8,9,10,11,12
0,1.79,1.46,1.32,0.86,0.6,0.48,0.63,0.54,0.49,0.46,0.82,1.41
1,1.89,1.61,1.44,0.9,0.52,0.44,0.58,0.5,0.4,0.36,0.84,1.53
2,1.96,1.72,1.54,1.04,0.5,0.43,0.63,0.44,0.3,0.3,0.93,1.64
3,1.98,1.76,1.6,1.13,0.52,0.45,0.71,0.43,0.26,0.3,1.01,1.7
4,1.97,1.77,1.61,1.19,0.53,0.47,0.74,0.41,0.27,0.29,1.05,1.74
5,1.96,1.79,1.61,1.21,0.54,0.48,0.74,0.43,0.3,0.29,1.07,1.76
6,1.93,1.78,1.59,1.15,0.56,0.51,0.77,0.44,0.3,0.31,1.09,1.76
7,1.89,1.76,1.52,1.06,0.54,0.54,0.79,0.48,0.31,0.34,1.08,1.74
8,1.87,1.73,1.47,1.01,0.52,0.55,0.84,0.5,0.31,0.36,1.07,1.72
9,1.87,1.72,1.47,1,0.52,0.57,0.91,0.55,0.32,0.39,1.06,1.71
10,1.9,1.73,1.48,1.02,0.51,0.56,0.98,0.6,0.33,0.41,1.06,1.73
11,1.93,1.74,1.49,1.06,0.5,0.54,1,0.63,0.34,0.45,1.06,1.76
12,1.91,1.73,1.5,1.06,0.5,0.54,0.95,0.62,0.37,0.5,1.08,1.77
13,1.88,1.7,1.48,1.02,0.5,0.5,0.92,0.58,0.41,0.48,1.06,1.75
14,1.83,1.64,1.43,1,0.57,0.54,0.96,0.62,0.44,0.47,1.03,1.71
15,1.78,1.61,1.38,0.96,0.62,0.6,0.96,0.67,0.51,0.53,1.02,1.65
16,1.73,1.57,1.3,0.93,0.7,0.66,0.95,0.72,0.59,0.62,1.01,1.56
17,1.67,1.52,1.21,0.89,0.74,0.72,0.97,0.78,0.65,0.73,0.99,1.48
18,1.6,1.46,1.16,0.87,0.74,0.77,0.96,0.8,0.73,0.78,0.95,1.43
19,1.53,1.43,1.17,0.87,0.77,0.79,0.96,0.77,0.77,0.78,0.94,1.37
20,1.49,1.42,1.17,0.88,0.78,0.77,0.95,0.75,0.77,0.77,0.93,1.34
21,1.5,1.46,1.19,0.9,0.8,0.76,0.91,0.76,0.73,0.75,0.93,1.35
22,1.54,1.51,1.23,0.89,0.77,0.71,0.87,0.74,0.7,0.69,0.92,1.4
23,1.62,1.56,1.28,0.89,0.72,0.64,0.85,0.65,0.65,0.62,0.89,1.45
