perc,sel_perc,val,count
2,2,181.38,2
4,4,158.3,5
6,6,149.23,7
8,8,138.58,10
10,10,133.43,12
12,12,127.93,15
14,14,125.13,17
16,16,122.65,19
18,18,119.2,22
20,20,116.93,24
22,22,113.3,27
24,24,111.05,29
26,26,108.91,31
28,28,105.95,34
30,30,104.15,36
32,32,101.1,39
34,34,99.18,41
36,36,96.41,44
38,38,94.63,46
40,40,92.94,48
42,42,90.22,51
44,44,88.42,53
46,46,85.95,56
48,48,84.4,58
50,50,82.93,60
52,52,80.71,63
54,54,79.16,65
56,56,76.95,68
58,58,75.53,70
60,60,73.43,73
62,62,72.07,75
64,64,70.75,77
66,66,68.67,80
68,68,67.34,82
70,70,65.43,85
72,72,64.21,87
74,74,62.46,90
76,76,61.32,92
78,78,60.21,94
80,80,58.59,97
82,82,57.55,99
84,84,56.03,102
86,86,55.02,104
88,88,54.04,106
90,90,52.6,109
92,92,51.68,111
94,94,50.33,114
96,96,49.05,117
98,98,48.22,119
100,100,47.43,121
