perc,sel_perc,val,count
2,2,4.92,2
4,4,4.71,5
6,6,4.63,7
8,8,4.52,10
10,10,4.47,12
12,12,4.41,15
14,14,4.38,17
16,16,4.35,19
18,18,4.3,22
20,20,4.26,24
22,22,4.22,27
24,24,4.18,29
26,26,4.15,31
28,28,4.11,34
30,30,4.08,36
32,32,4.02,39
34,34,3.98,41
36,36,3.93,44
38,38,3.9,46
40,40,3.87,48
42,42,3.83,51
44,44,3.79,53
46,46,3.74,56
48,48,3.71,58
50,50,3.68,60
52,52,3.64,63
54,54,3.61,65
56,56,3.56,68
58,58,3.53,70
60,60,3.48,73
62,62,3.45,75
64,64,3.42,77
66,66,3.37,80
68,68,3.34,82
70,70,3.29,85
72,72,3.26,87
74,74,3.21,90
76,76,3.18,92
78,78,3.15,94
80,80,3.1,97
82,82,3.07,99
84,84,3.02,102
86,86,2.99,104
88,88,2.95,106
90,90,2.9,109
92,92,2.86,111
94,94,2.8,114
96,96,2.76,116
98,98,2.7,119
100,100,2.66,121
